"Question","Answer"
"사내 동호회 신규 개설 방법은?","5인 이상 구성 후 HR팀에 신청하면 됩니다."
"사내 뉴스레터 구독 방법은?","인트라넷에서 구독 신청 가능합니다."
"사내 분실물 처리 절차는?","HR팀에 신고 후 분실물 센터에서 확인 가능합니다."
"사내 안전사고 발생 시 대처 방법은?","즉시 HR팀 및 안전관리자에게 신고해야 합니다."
"사내 건강관리 프로그램이 있나요?","네, 건강 상담 및 운동 프로그램이 운영됩니다."
"사내 심리상담 지원이 있나요?","전문 상담사를 통한 심리상담이 제공됩니다."
"사내 임직원 가족 초청 행사가 있나요?","연 1회 가족 초청 행사가 진행됩니다."
"사내 경조사 지원금 신청 방법은?","경조사 발생 시 HR팀에 신청하시면 됩니다."
"사내 장기근속 포상 제도가 있나요?","5년, 10년, 20년 근속 시 포상이 지급됩니다."
"사내 명예퇴직 제도가 있나요?","일정 근속 연수 이상 시 명예퇴직 신청이 가능합니다."
"사내 복지관 이용 방법은?","사원증 지참 시 자유롭게 이용 가능합니다."
"사내 차량 등록 절차는?","차량 등록 신청서와 보험증을 HR팀에 제출합니다."
"사내 업무용 차량 이용 기준은?","부서장 승인 후 업무 목적에 한해 사용 가능합니다."
"사내 회식 비용 지원 기준은?","부서별 예산 한도 내에서 지원됩니다."
"사내 전자결재 시스템 이용 방법은?","인트라넷에서 로그인 후 이용 가능합니다."
"사내 문서 양식은 어디서 받을 수 있나요?","인트라넷 자료실에서 다운로드 가능합니다."
"사내 복지몰 이용 방법은?","사번으로 로그인 후 자유롭게 이용 가능합니다."
"사내 임직원 건강보험은 어떻게 가입하나요?","입사 시 자동으로 가입 처리됩니다."
"사내 퇴직연금 제도가 있나요?","네, 퇴직연금 제도가 운영되고 있습니다."
"사내 연말정산 안내는 언제 하나요?","매년 12월 HR팀에서 안내합니다."
"사내 교육 이수 확인 방법은?","교육 포털에서 이수 내역을 확인할 수 있습니다."
"사내 성과급 지급 기준은?","인사평가와 회사 실적에 따라 지급됩니다."
"사내 복지카드 발급 방법은?","HR팀에 신청서 제출 후 발급받을 수 있습니다."
"사내 명절 선물 지급 기준은?","설, 추석 등 명절에 지급됩니다."
"사내 임직원 자녀 장학금 제도가 있나요?","성적 우수자 및 저소득층 자녀에게 지급됩니다."
"사내 사내외 교육비 지원 기준은?","업무 관련 교육에 한해 지원됩니다."
"사내 전자서명 사용 규정은?","전자결재 및 계약서 작성 시 사용 가능합니다."
"사내 재택근무 장비 지원이 있나요?","노트북, 모니터 등 필수 장비가 지원됩니다."
"사내 업무 매뉴얼은 어디서 확인하나요?","인트라넷 자료실에서 확인 가능합니다."
"사내 임직원 상벌 제도는?","우수 직원 포상 및 규정 위반 시 징계가 있습니다."
"사내 비상연락망은 어떻게 확인하나요?","인트라넷 또는 HR팀에서 확인 가능합니다."
"사내 임직원 주소 변경 신청 방법은?","인트라넷에서 직접 변경 신청이 가능합니다."
"사내 복지제도 문의는 어디서 하나요?","HR팀 또는 복지 담당자에게 문의하시면 됩니다."
"사내 인사이동 공지는 어디서 확인하나요?","인트라넷 공지사항에서 확인 가능합니다."
"사내 퇴직 절차는 어떻게 되나요?","퇴직 의사 통보 후 HR팀 안내에 따라 진행됩니다."
"사내 사무실 자리 배정 기준은?","부서별, 직급별로 배정됩니다."
"사내 임직원 명함 발급 방법은?","HR팀에 신청서 제출 후 발급받을 수 있습니다."
"사내 사내외 교육 일정은 어디서 확인하나요?","교육 포털 또는 인트라넷에서 확인 가능합니다."
"사내 임직원 사진 촬영 일정은?","연 1회 HR팀에서 일정을 공지합니다."
"사내 임직원 복지 포인트 잔액 확인 방법은?","복지몰 로그인 후 잔액을 확인할 수 있습니다."
